,uf,municipio,longitude,latitude
0,AC,Acrelândia,-66.897166,-9.825808
1,AC,Assis Brasil,-69.573794,-10.929765
2,AC,Brasiléia,-68.749696,-10.994994
3,AC,Bujari,-67.955029,-9.815277
4,AC,Capixaba,-67.686006,-10.566031
5,AC,Cruzeiro do Sul,-72.675582,-7.627625
6,AC,Epitaciolândia,-68.734109,-11.018771
7,AC,Feijó,-70.350973,-8.170536
8,AC,Jordão,-71.897391,-9.430912
9,AC,Manoel Urbano,-69.267862,-8.832911
10,AC,Marechal Thaumaturgo,-72.799704,-8.938983
11,AC,Mâncio Lima,-72.899708,-7.616575
12,AC,Plácido de Castro,-67.137133,-10.28064
13,AC,Porto Acre,-67.547815,-9.581378
14,AC,Porto Walter,-72.753747,-8.263233
15,AC,Rio Branco,-67.824348,-9.97499
16,AC,Rodrigues Alves,-72.661015,-7.738638
17,AC,Santa Rosa do Purus,-70.49025,-9.446515
18,AC,Sena Madureira,-68.671278,-9.063499
19,AC,Senador Guiomard,-67.736185,-10.149686
20,AC,Tarauacá,-70.772154,-8.156975
21,AC,Xapuri,-68.496857,-10.651598
22,AL,Anadia,-36.307783,-9.684886
23,AL,Arapiraca,-36.661471,-9.754866
24,AL,Atalaia,-36.008552,-9.511898
25,AL,Barra de Santo Antônio,-35.510083,-9.402297
26,AL,Barra de São Miguel,-35.905667,-9.83842
27,AL,Batalha,-37.133014,-9.674195
28,AL,Belo Monte,-37.277014,-9.822718
29,AL,Belém,-36.490399,-9.570472
30,AL,Boca da Mata,-36.212498,-9.643082
31,AL,Branquinha,-36.016152,-9.23342
32,AL,Cacimbinhas,-36.991082,-9.401212
33,AL,Cajueiro,-36.155937,-9.399402
34,AL,Campestre,-35.56847,-8.847228
35,AL,Campo Alegre,-36.352461,-9.784512
36,AL,Campo Grande,-36.792608,-9.955423
37,AL,Canapi,-37.5967,-9.119319
38,AL,Capela,-36.082583,-9.415041
39,AL,Carneiros,-37.377303,-9.484762
40,AL,Chã Preta,-36.298334,-9.255605
41,AL,Coité do Nóia,-36.584493,-9.633484
42,AL,Colônia Leopoldina,-35.721414,-8.918058
43,AL,Coqueiro Seco,-35.799377,-9.637147
44,AL,Coruripe,-36.171724,-10.127632
45,AL,Craíbas,-36.769726,-9.617798
46,AL,Delmiro Gouveia,-37.998676,-9.385336
47,AL,Dois Riachos,-37.096502,-9.384645
48,AL,Estrela de Alagoas,-36.764407,-9.390894
49,AL,Feira Grande,-36.681521,-9.898586
50,AL,Feliz Deserto,-36.302788,-10.293491
51,AL,Flexeiras,-35.713933,-9.272807
52,AL,Girau do Ponciano,-36.831592,-9.884041
53,AL,Ibateguara,-35.937325,-8.978232
54,AL,Igaci,-36.637191,-9.537678
55,AL,Igreja Nova,-36.659705,-10.123463
56,AL,Inhapi,-37.750871,-9.225936
57,AL,Jacaré dos Homens,-37.207636,-9.635446
58,AL,Jacuípe,-35.459074,-8.83951
59,AL,Japaratinga,-35.263403,-9.087464
60,AL,Jaramataia,-37.004558,-9.662243
61,AL,Jequia Da Praia,-36.01423,-10.013268
62,AL,Joaquim Gomes,-35.747381,-9.132805
63,AL,Jundiá,-35.566925,-8.932968
64,AL,Junqueiro,-36.480346,-9.906961
65,AL,Lagoa da Canoa,-36.741257,-9.832909
66,AL,Limoeiro de Anadia,-36.512097,-9.740983
67,AL,Maceió,-35.73496,-9.665985
68,AL,Major Isidoro,-36.992006,-9.530086
69,AL,Mar Vermelho,-36.388076,-9.447393
70,AL,Maragogi,-35.226692,-9.007443
71,AL,Maravilha,-37.352419,-9.230449
72,AL,Marechal Deodoro,-35.896731,-9.709715
73,AL,Maribondo,-36.304488,-9.583528
74,AL,Mata Grande,-37.732298,-9.118243
75,AL,Matriz de Camaragibe,-35.524302,-9.154373
76,AL,Messias,-35.839182,-9.393843
77,AL,Minador do Negrão,-36.869553,-9.312358
78,AL,Monteirópolis,-37.250463,-9.603569
79,AL,Murici,-35.942798,-9.306823
80,AL,Novo Lino,-35.664001,-8.941905
81,AL,Olho d`Água Grande,-36.810082,-10.057167
82,AL,Olho d`Água das Flores,-37.297093,-9.536858
83,AL,Olho d`Água do Casado,-37.830073,-9.503573
84,AL,Olivença,-37.195441,-9.519538
85,AL,Ouro Branco,-37.355639,-9.158842
86,AL,Palestina,-37.339037,-9.674928
87,AL,Palmeira dos Índios,-36.632812,-9.405681
88,AL,Pariconha,-37.998751,-9.256342
89,AL,Paripueira,-35.551977,-9.463133
90,AL,Passo de Camaragibe,-35.47449,-9.24511
